Sex,Year,Current_Course,SHS_Strand,First_Choice,Second_Choice,Third_Choice,Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
0,1,6,3,27,34,13,4,3,3,3,2,3,3,2,1,3,3,3,3,2,2,3,3,2,2,3,3,2,3,4,2,1,1
0,1,13,3,23,34,13,3,3,4,4,2,2,2,2,1,2,2,3,2,2,2,3,2,3,3,4,2,4,2,4,3,1,1
0,1,13,3,23,34,13,3,3,3,3,2,2,2,2,1,2,2,3,2,3,2,2,2,2,3,4,3,2,3,4,2,1,1
0,2,14,3,24,12,18,4,4,4,4,1,4,3,1,1,2,2,3,2,1,2,3,2,2,2,3,3,3,2,4,4,1,0
1,2,6,3,12,25,22,3,3,3,3,1,2,3,2,1,1,2,3,3,3,2,3,1,2,2,4,3,3,3,4,2,0,1
1,2,13,0,33,12,26,4,4,4,4,2,2,3,2,1,3,3,2,1,2,2,2,3,3,2,1,3,3,3,3,4,1,0
1,1,8,4,14,24,17,3,4,4,4,1,2,3,2,1,3,3,3,1,3,2,2,3,1,4,3,2,2,2,4,1,1,0
0,2,8,3,14,24,17,3,4,4,3,1,3,3,3,1,3,3,3,3,2,2,3,3,2,3,2,3,1,1,3,3,1,1
1,2,13,1,23,30,12,3,3,3,2,1,3,4,4,1,3,2,2,1,2,2,3,3,3,2,3,3,3,3,3,3,1,0
1,0,15,3,12,16,14,3,3,3,4,1,2,2,2,1,3,3,3,2,3,2,4,3,2,2,4,3,2,3,4,3,1,0
0,2,2,0,32,7,10,3,2,3,3,1,2,2,2,1,2,2,3,1,2,2,3,2,2,2,4,2,2,2,4,2,0,0
1,2,13,0,23,16,19,3,2,3,3,1,3,3,2,1,3,2,3,2,2,2,3,3,3,2,2,3,3,3,4,1,1,0
0,2,13,3,23,34,33,3,2,3,3,1,3,4,2,1,3,2,2,2,2,2,1,3,2,4,4,3,2,1,3,2,1,0
1,2,8,0,23,14,20,4,4,4,3,1,3,1,1,1,2,1,3,3,2,2,3,2,1,2,3,2,3,2,1,3,0,1
1,2,13,4,23,14,20,4,3,3,2,1,3,3,2,1,4,2,2,3,3,2,2,4,2,3,3,3,3,3,4,3,1,0
0,1,14,1,27,29,12,2,2,4,4,2,1,1,1,1,3,2,2,3,3,2,2,3,1,2,4,2,3,3,4,3,0,1
1,1,18,2,22,30,38,4,4,4,1,4,1,1,1,1,1,3,1,3,3,2,1,1,2,3,1,2,3,3,2,1,0,1
0,2,3,0,8,5,38,3,3,4,3,1,3,3,3,1,3,3,3,3,2,2,3,3,3,2,2,3,3,3,3,3,1,0
0,1,6,3,12,26,33,4,4,4,4,1,2,2,2,1,3,4,3,4,3,2,3,3,2,3,4,2,2,2,4,3,0,1
1,2,13,4,23,16,3,3,3,3,3,1,3,4,3,1,3,2,2,3,3,2,3,3,3,2,3,3,3,3,2,3,0,0
0,2,13,1,23,16,0,4,4,4,4,1,2,3,3,1,3,3,3,1,1,2,2,3,3,4,3,2,2,2,4,2,0,1
0,1,13,4,23,14,6,4,4,4,4,1,4,3,3,1,3,3,3,3,2,2,3,3,2,3,1,3,2,3,3,3,0,0
0,1,13,3,29,33,6,3,4,3,4,1,1,2,2,1,2,2,2,2,4,2,2,2,2,3,4,2,1,2,4,1,0,1
1,2,6,3,12,28,12,3,3,4,4,1,2,2,2,1,2,3,3,2,3,2,3,2,2,3,3,2,3,3,4,2,0,0
1,2,0,0,5,7,11,3,3,4,3,1,2,2,2,1,2,3,2,3,2,2,2,2,1,4,2,2,2,1,3,1,0,0
0,2,17,4,32,23,11,4,3,4,4,1,4,4,3,1,4,2,3,3,2,2,3,4,3,2,2,3,2,3,2,3,1,0
1,1,6,3,12,12,13,4,1,1,4,1,3,3,2,1,3,2,2,1,4,2,3,3,2,4,1,2,1,1,4,3,1,0
0,2,8,4,23,14,17,4,4,4,4,1,2,3,2,1,2,3,3,1,1,2,3,2,3,2,2,2,2,2,4,1,0,1
1,2,13,3,23,17,17,3,3,3,3,1,3,3,3,1,3,3,3,3,2,2,3,3,3,2,2,3,3,3,2,3,1,0
1,1,8,3,3,30,15,3,3,3,4,1,2,2,2,1,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,2,0,1
1,2,13,4,23,16,15,4,2,4,4,1,4,4,4,1,4,2,2,4,2,2,4,4,4,2,2,3,2,2,1,2,1,0
0,2,6,3,12,13,28,4,4,3,3,1,3,4,3,1,3,2,3,4,3,2,3,3,3,2,1,2,2,3,3,3,1,0
0,1,14,3,12,28,27,3,3,4,4,1,2,2,2,1,2,2,3,3,3,2,3,2,1,2,2,2,2,3,4,2,0,1
0,2,7,3,26,28,32,2,2,4,4,1,2,1,1,1,1,3,2,2,3,2,2,1,1,3,4,2,2,2,4,3,0,1
0,2,17,1,32,0,33,4,3,4,4,1,3,3,3,1,4,3,3,3,3,2,3,4,3,2,1,3,3,3,2,3,1,0
1,2,3,0,8,11,34,3,2,2,4,1,2,2,2,1,1,1,1,3,1,2,1,1,3,4,4,1,2,1,2,1,0,0
0,2,0,0,5,12,36,3,4,4,4,1,3,3,3,1,3,4,3,3,3,2,3,3,2,3,2,3,2,3,4,3,0,0
0,1,12,4,22,34,36,4,2,2,2,1,2,2,2,1,2,3,3,2,2,2,2,2,1,2,2,1,3,1,4,2,0,0
0,2,6,3,12,28,9,3,3,4,4,2,3,1,1,1,1,3,3,3,2,2,2,1,2,3,4,1,2,3,4,3,0,1
1,2,6,3,12,34,17,4,4,3,3,2,1,2,3,1,2,2,2,3,2,2,3,2,3,3,2,2,2,2,3,4,0,0
1,1,7,3,13,15,19,4,1,4,4,1,3,4,2,1,3,2,3,2,2,2,3,3,2,1,2,2,2,2,3,2,1,0
